ID:48.03123229.339617,Latitude:29.339617,TotalMRCount:17,Longitude:48.031232,
ID:48.04187129.327678,Latitude:29.327678,TotalMRCount:9,Longitude:48.041871,
ID:48.0325429.347764,Latitude:29.347764,TotalMRCount:308,Longitude:48.03254,
ID:48.08778629.341766,Latitude:29.341766,TotalMRCount:180,Longitude:48.087786,
ID:48.04104429.338483,Latitude:29.338483,TotalMRCount:3601,Longitude:48.041044,
ID:48.04200729.340759,Latitude:29.340759,TotalMRCount:4128,Longitude:48.042007,
ID:48.04092729.342539,Latitude:29.342539,TotalMRCount:971,Longitude:48.040927,
ID:48.03516429.346018,Latitude:29.346018,TotalMRCount:96,Longitude:48.035164,
ID:48.04105729.338032,Latitude:29.338032,TotalMRCount:3136,Longitude:48.041057,
ID:48.04707329.343577,Latitude:29.343577,TotalMRCount:959,Longitude:48.047073,
ID:48.03541229.337456,Latitude:29.337456,TotalMRCount:1939,Longitude:48.035412,
ID:48.03651929.334774,Latitude:29.334774,TotalMRCount:286,Longitude:48.036519,
ID:48.04291929.344838,Latitude:29.344838,TotalMRCount:555,Longitude:48.042919,
ID:48.03004729.345002,Latitude:29.345002,TotalMRCount:113,Longitude:48.030047,
ID:48.03818529.34834,Latitude:29.34834,TotalMRCount:5,Longitude:48.038185,
ID:48.08251429.346161,Latitude:29.346161,TotalMRCount:16,Longitude:48.082514,
ID:48.04204729.339407,Latitude:29.339407,TotalMRCount:17531,Longitude:48.042047,
ID:48.0371729.347867,Latitude:29.347867,TotalMRCount:11,Longitude:48.03717,
ID:48.04230729.330393,Latitude:29.330393,TotalMRCount:528,Longitude:48.042307,
ID:48.03821129.347439,Latitude:29.347439,TotalMRCount:27,Longitude:48.038211,
ID:48.04617429.339047,Latitude:29.339047,TotalMRCount:392,Longitude:48.046174,
ID:48.03497629.33474,Latitude:29.33474,TotalMRCount:39,Longitude:48.034976,
ID:48.0410729.337581,Latitude:29.337581,TotalMRCount:2985,Longitude:48.04107,
ID:48.035929.338368,Latitude:29.338368,TotalMRCount:13556,Longitude:48.0359,
ID:48.04263929.336714,Latitude:29.336714,TotalMRCount:244,Longitude:48.042639,
ID:48.03450129.333377,Latitude:29.333377,TotalMRCount:20,Longitude:48.034501,
ID:48.03165529.342783,Latitude:29.342783,TotalMRCount:179,Longitude:48.031655,
ID:48.03724829.345163,Latitude:29.345163,TotalMRCount:344,Longitude:48.037248,
ID:48.04185829.328129,Latitude:29.328129,TotalMRCount:24,Longitude:48.041858,
ID:48.04444929.345322,Latitude:29.345322,TotalMRCount:16,Longitude:48.044449,
ID:48.03916929.332127,Latitude:29.332127,TotalMRCount:117,Longitude:48.039169,
ID:48.03827729.345186,Latitude:29.345186,TotalMRCount:5399,Longitude:48.038277,
ID:48.0399529.340713,Latitude:29.340713,TotalMRCount:4049,Longitude:48.03995,
ID:48.0378829.341118,Latitude:29.341118,TotalMRCount:23933,Longitude:48.03788,
ID:48.04030229.328545,Latitude:29.328545,TotalMRCount:193,Longitude:48.040302,
ID:48.0364829.336126,Latitude:29.336126,TotalMRCount:349,Longitude:48.03648,
ID:48.04046429.340724,Latitude:29.340724,TotalMRCount:4499,Longitude:48.040464,
ID:48.04388929.329075,Latitude:29.329075,TotalMRCount:8,Longitude:48.043889,
ID:48.03358229.347336,Latitude:29.347336,TotalMRCount:152,Longitude:48.033582,
ID:48.03562629.347832,Latitude:29.347832,TotalMRCount:118,Longitude:48.035626,
ID:48.04307529.33943,Latitude:29.33943,TotalMRCount:10058,Longitude:48.043075,
ID:48.03384329.338323,Latitude:29.338323,TotalMRCount:10247,Longitude:48.033843,
ID:48.03778829.344273,Latitude:29.344273,TotalMRCount:3349,Longitude:48.037788,
ID:48.03767129.348329,Latitude:29.348329,TotalMRCount:10,Longitude:48.037671,
ID:48.04463129.339013,Latitude:29.339013,TotalMRCount:948,Longitude:48.044631,
ID:48.04045129.341175,Latitude:29.341175,TotalMRCount:6756,Longitude:48.040451,
ID:48.0310129.347279,Latitude:29.347279,TotalMRCount:6,Longitude:48.03101,
ID:48.03354329.348688,Latitude:29.348688,TotalMRCount:6,Longitude:48.033543,
ID:48.04332329.330867,Latitude:29.330867,TotalMRCount:284,Longitude:48.043323,
ID:48.03781429.343371,Latitude:29.343371,TotalMRCount:3083,Longitude:48.037814,
ID:48.03314629.34462,Latitude:29.34462,TotalMRCount:294,Longitude:48.033146,
ID:48.04267829.335362,Latitude:29.335362,TotalMRCount:662,Longitude:48.042678,
ID:48.08248829.347062,Latitude:29.347062,TotalMRCount:6,Longitude:48.082488,
ID:48.03447529.334278,Latitude:29.334278,TotalMRCount:12,Longitude:48.034475,
ID:48.04654629.344016,Latitude:29.344016,TotalMRCount:654,Longitude:48.046546,
ID:48.04183229.32903,Latitude:29.32903,TotalMRCount:150,Longitude:48.041832,
ID:48.04097929.340736,Latitude:29.340736,TotalMRCount:23665,Longitude:48.040979,
ID:48.03223529.340542,Latitude:29.340542,TotalMRCount:30,Longitude:48.032235,
ID:48.03220929.341443,Latitude:29.341443,TotalMRCount:122,Longitude:48.032209,
ID:48.03773629.346075,Latitude:29.346075,TotalMRCount:345,Longitude:48.037736,
ID:48.03170729.340981,Latitude:29.340981,TotalMRCount:143,Longitude:48.031707,
ID:48.03851129.337073,Latitude:29.337073,TotalMRCount:2574,Longitude:48.038511,
ID:48.03699429.336138,Latitude:29.336138,TotalMRCount:605,Longitude:48.036994,
ID:48.03545129.336104,Latitude:29.336104,TotalMRCount:420,Longitude:48.035451,
ID:48.03339429.336058,Latitude:29.336058,TotalMRCount:22,Longitude:48.033394,
ID:48.03340729.335607,Latitude:29.335607,TotalMRCount:7,Longitude:48.033407,
ID:48.0835329.346634,Latitude:29.346634,TotalMRCount:20,Longitude:48.08353,
ID:48.04027629.329446,Latitude:29.329446,TotalMRCount:470,Longitude:48.040276,
ID:48.03580929.341523,Latitude:29.341523,TotalMRCount:7470,Longitude:48.035809,
ID:48.03980129.328083,Latitude:29.328083,TotalMRCount:40,Longitude:48.039801,
ID:48.03942329.341152,Latitude:29.341152,TotalMRCount:3959,Longitude:48.039423,
ID:48.04504229.34263,Latitude:29.34263,TotalMRCount:1946,Longitude:48.045042,
ID:48.03524329.343314,Latitude:29.343314,TotalMRCount:4089,Longitude:48.035243,
ID:48.03905229.336184,Latitude:29.336184,TotalMRCount:3313,Longitude:48.039052,
ID:48.03922729.347912,Latitude:29.347912,TotalMRCount:1457,Longitude:48.039227,
ID:48.04357729.339892,Latitude:29.339892,TotalMRCount:9029,Longitude:48.043577,
ID:48.03313329.345071,Latitude:29.345071,TotalMRCount:187,Longitude:48.033133,
ID:48.04294529.343936,Latitude:29.343936,TotalMRCount:336,Longitude:48.042945,
ID:48.04298429.342584,Latitude:29.342584,TotalMRCount:682,Longitude:48.042984,
ID:48.0444129.346675,Latitude:29.346675,TotalMRCount:135,Longitude:48.04441,
ID:48.03281429.3383,Latitude:29.3383,TotalMRCount:411,Longitude:48.032814,
ID:48.0409429.342088,Latitude:29.342088,TotalMRCount:15393,Longitude:48.04094,
ID:48.02962429.341836,Latitude:29.341836,TotalMRCount:107,Longitude:48.029624,
ID:48.03632329.341534,Latitude:29.341534,TotalMRCount:6704,Longitude:48.036323,
ID:48.03430529.340137,Latitude:29.340137,TotalMRCount:3900,Longitude:48.034305,
ID:48.02806829.342253,Latitude:29.342253,TotalMRCount:21,Longitude:48.028068,
ID:48.03794529.338865,Latitude:29.338865,TotalMRCount:7844,Longitude:48.037945,
ID:48.04394829.34486,Latitude:29.34486,TotalMRCount:410,Longitude:48.043948,
ID:48.04019829.33215,Latitude:29.33215,TotalMRCount:600,Longitude:48.040198,
ID:48.03978829.328534,Latitude:29.328534,TotalMRCount:122,Longitude:48.039788,
ID:48.04125229.331272,Latitude:29.331272,TotalMRCount:2130,Longitude:48.041252,
ID:48.03125829.338716,Latitude:29.338716,TotalMRCount:31,Longitude:48.031258,
ID:48.03810129.333457,Latitude:29.333457,TotalMRCount:158,Longitude:48.038101,
ID:48.04708629.343126,Latitude:29.343126,TotalMRCount:519,Longitude:48.047086,
ID:48.04338129.346652,Latitude:29.346652,TotalMRCount:9,Longitude:48.043381,
ID:48.03889529.341592,Latitude:29.341592,TotalMRCount:5524,Longitude:48.038895,
ID:48.03744329.338403,Latitude:29.338403,TotalMRCount:5284,Longitude:48.037443,
ID:48.04015929.333502,Latitude:29.333502,TotalMRCount:3531,Longitude:48.040159,
ID:48.03733929.342008,Latitude:29.342008,TotalMRCount:37234,Longitude:48.037339,
ID:48.03112829.343223,Latitude:29.343223,TotalMRCount:449,Longitude:48.031128,
ID:48.03528229.341962,Latitude:29.341962,TotalMRCount:4860,Longitude:48.035282,
ID:48.03978129.346572,Latitude:29.346572,TotalMRCount:127,Longitude:48.039781,
ID:48.04141529.343451,Latitude:29.343451,TotalMRCount:846,Longitude:48.041415,
ID:48.03750929.336149,Latitude:29.336149,TotalMRCount:1673,Longitude:48.037509,
ID:48.0405329.338471,Latitude:29.338471,TotalMRCount:5817,Longitude:48.04053,
ID:48.08301629.346623,Latitude:29.346623,TotalMRCount:6,Longitude:48.083016,
ID:48.04130429.329469,Latitude:29.329469,TotalMRCount:556,Longitude:48.041304,
ID:48.03947529.33935,Latitude:29.33935,TotalMRCount:17189,Longitude:48.039475,
ID:48.0315529.346389,Latitude:29.346389,TotalMRCount:41,Longitude:48.03155,
ID:48.03554329.332949,Latitude:29.332949,TotalMRCount:24,Longitude:48.035543,
ID:48.04227429.349333,Latitude:29.349333,TotalMRCount:3,Longitude:48.042274,
ID:48.02953229.344991,Latitude:29.344991,TotalMRCount:78,Longitude:48.029532,
ID:48.03438429.337433,Latitude:29.337433,TotalMRCount:462,Longitude:48.034384,
ID:48.03728729.343811,Latitude:29.343811,TotalMRCount:1881,Longitude:48.037287,
ID:48.04385729.348015,Latitude:29.348015,TotalMRCount:4,Longitude:48.043857,
ID:48.04568629.338135,Latitude:29.338135,TotalMRCount:926,Longitude:48.045686,
ID:48.03392129.335619,Latitude:29.335619,TotalMRCount:25,Longitude:48.033921,
ID:48.04716429.340422,Latitude:29.340422,TotalMRCount:761,Longitude:48.047164,
ID:48.03944929.340251,Latitude:29.340251,TotalMRCount:2879,Longitude:48.039449,
ID:48.03323729.341466,Latitude:29.341466,TotalMRCount:237,Longitude:48.033237,
ID:48.03475429.342401,Latitude:29.342401,TotalMRCount:6138,Longitude:48.034754,
ID:48.04429.343058,Latitude:29.343058,TotalMRCount:244,Longitude:48.044,
ID:48.04286729.34664,Latitude:29.34664,TotalMRCount:29,Longitude:48.042867,
